"","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date","is_blownout","score_diff"
"1","CLE",-6,-3,40,0,-2,-2,-21,54,19,1,-32,0,-17,-6,-6,40,0,33,0,0,1,-4,-5,1,"CLE","NYJ",0,0,0,1,0,1,7,0,3,3,-6,-26,4,-12,67,-2,"CLE","NYJ",-20,-10,"False","outdoors","fieldturf ",1,14,-7,-1,"CLE",1,"2019-09-16",FALSE,50
"2","NYG",-7,-3,-73,0,2,0,5,-16,-115,3,-22,0,-38,0,-7,-73,0,16,-2,-2,5,0,-5,5,"NYG","BUF",0,0,0,-1,0,-1,45,-2,4,1,-32,10,-4,86,-72,2,"BUF","NYG",11,-21,"False","outdoors","fieldturf ",7,3,5,6,"BUF",0,"2019-09-15",TRUE,4
"3","JAX",-4,0,-137,-2,-1,3,32,-73,-158,5,22,0,6,0,-4,-137,-2,-44,0,5,0,8,8,0,"JAX","HOU",0,0,0,0,0,-1,-7,2,14,5,32,-10,1,-7,-34,0,"JAX","HOU",-28,-13,"False","retractable roof (closed)","grass",-19,-9,-6,-4,"HOU",-6,"2019-09-15",FALSE,13
"4","MIA",3,7,-4,-1,2,4,33,-13,-11,3,21,0,-5,7,3,-4,-1,-25,-1,0,3,14,11,3,"MIA","NWE",0,0,0,0,0,0,59,-3,-2,-4,23,-2,1,59,10,4,"NWE","MIA",-16,-10,"False","outdoors","grass",-4,11,-4,-11,"NWE",7,"2019-09-15",TRUE,6
"5","ATL",-6,-3,16,1,1,-3,-22,31,-6,0,-16,0,9,-2,-6,16,1,28,-1,-1,1,-6,-7,1,"ATL","PHI",0,0,0,0,0,2,39,-1,3,-2,-1,-15,-2,54,46,2,"PHI","ATL",8,-4,"False","retractable roof (open)","fieldturf",0,0,0,2,"PHI",6,"2019-09-15",FALSE,20
"6","PIT",-7,-13,-89,2,0,0,7,15,94,3,49,1,37,-13,-7,-89,2,-33,0,0,3,-10,-13,3,"PIT","SEA",0,0,0,0,0,0,-204,2,-3,-11,-8,57,1,-205,-44,-4,"SEA","PIT",25,-7,"False","outdoors","grass",15,-11,1,1,"PIT",-2,"2019-09-15",FALSE,28
"7","TAM",-4,-11,14,0,-3,0,-1,13,58,5,-21,1,2,-9,-4,14,0,-22,-1,-2,7,-6,-13,7,"TAM","CAR",0,0,0,0,0,1,-10,5,5,-3,-67,46,4,8,-18,-2,"TAM","CAR",-11,-3,"False","outdoors","grass",-8,3,-6,-5,"CAR",-3,"2019-09-12",FALSE,20
"8","CIN",-6,-6,-61,-1,1,-2,-10,-33,-27,0,41,1,3,-8,-6,-61,-1,-40,2,0,0,-8,-8,0,"CIN","BUF",0,0,0,-1,0,-2,-30,4,8,-1,11,30,1,-30,-77,-1,"CIN","BUF",-24,4,"False","outdoors","astroturf",2,8,8,-4,"BUF",-3,"2019-09-22",FALSE,20
"9","MIA",2,2,43,0,-4,-4,-26,24,123,9,30,0,4,2,2,43,0,19,1,2,7,7,0,7,"MIA","DAL",0,0,0,0,0,0,-89,2,-3,5,4,26,-1,-90,29,-3,"MIA","DAL",-37,31,"False","retractable roof (closed)","fieldturf",-15,-22,-4,-4,"DAL",-2,"2019-09-22",TRUE,18
"10","NYG",-3,-9,86,1,-2,4,15,42,50,-1,-57,1,-7,-8,-3,86,1,51,2,3,-4,-6,-2,-4,"NYG","TAM",2,0,0,1,-1,2,-6,0,-1,8,-19,-38,0,-6,60,0,"NYG","TAM",4,17,"False","outdoors","grass",9,-2,6,-4,"TAM",4,"2019-09-22",FALSE,15
"11","LVR",4,-4,44,1,-1,1,8,5,42,1,-41,0,-24,-4,4,44,1,-1,0,-2,3,-2,-5,3,"LVR","MIN",0,0,0,0,0,1,-41,-3,-5,0,-5,-36,3,-43,-14,0,"LVR","MIN",-14,24,"False","dome","sportturf",2,-16,-13,-1,"MIN",-10,"2019-09-22",TRUE,-2
"12","NOR",-1,-8,-26,2,-1,-2,-16,-18,-4,3,31,1,14,-5,-1,-26,2,-25,0,0,3,-7,-10,3,"NOR","SEA",0,0,0,0,0,0,-156,1,1,-3,2,29,4,-143,29,-1,"NOR","SEA",24,0,"False","outdoors","fieldturf",-22,41,4,-3,"SEA",-8,"2019-09-22",FALSE,24
"13","WAS",4,6,111,0,3,3,32,6,-25,4,22,-1,0,5,4,111,0,10,2,1,3,13,10,3,"WAS","CHI",0,0,0,1,0,0,27,1,11,2,50,-28,0,28,81,1,"CHI","WAS",0,-6,"False","outdoors","grass",7,-7,-2,1,"CHI",-5,"2019-09-23",TRUE,-6
"14","NYJ",-11,-9,-103,0,1,1,-3,-16,-108,-4,-57,0,-12,-8,-11,-103,0,-30,-1,0,-4,-12,-8,-4,"NYJ","NWE",0,0,0,0,0,0,-20,1,-4,1,-56,-1,-2,-7,-69,-1,"NYJ","NWE",-9,27,"False","outdoors","grass",9,-20,7,-14,"NWE",-2,"2019-09-22",TRUE,4
"15","TEN",-5,-13,-77,3,0,-9,-55,8,48,8,47,-1,6,-16,-5,-77,3,-37,0,-3,11,-14,-25,11,"TEN","ATL",0,0,0,-1,1,0,-300,-4,-11,-1,33,14,1,-293,64,-1,"TEN","ATL",17,-10,"False","retractable roof (closed)","fieldturf",-1,-42,-9,-2,"ATL",8,"2019-09-29",FALSE,27
"16","ARI",-8,-11,68,-2,-1,-4,-11,8,4,1,-6,1,7,-12,-8,68,-2,20,0,-1,2,-14,-16,2,"ARI","SEA",0,0,0,0,0,0,-74,-3,-6,-3,-21,15,1,-81,47,-1,"SEA","ARI",-11,-10,"False","retractable roof (closed)","grass",0,0,0,-3,"SEA",3,"2019-09-29",TRUE,1
"17","MIA",-3,-17,-49,1,1,2,1,-31,-92,-6,0,0,1,-17,-3,-49,1,-27,-1,-3,-3,-21,-18,-3,"MIA","LAC",0,0,0,0,0,0,-255,-4,-2,-2,-1,1,2,-255,27,0,"LAC","MIA",24,-21,"False","outdoors","grass",16,8,15,7,"LAC",-3,"2019-09-29",TRUE,5
"18","DEN",2,9,90,3,0,-6,-52,-13,23,-22,-81,-2,7,7,2,90,3,19,-2,-1,-21,-19,2,-21,"DEN","JAX",0,0,0,1,0,1,167,2,10,4,-59,-22,-3,140,39,2,"JAX","DEN",10,-3,"False","outdoors","grass",18,-82,7,5,"DEN",-5,"2019-09-29",FALSE,9
"19","LVR",-6,-3,-53,0,-1,-3,-28,-10,2,12,100,1,53,-5,-6,-53,0,10,1,0,12,6,-6,12,"LVR","IND",0,0,0,0,0,-1,-35,-2,5,-1,77,23,-2,-25,-3,1,"LVR","IND",17,-10,"False","retractable roof (closed)","fieldturf",0,0,0,3,"IND",3,"2019-09-29",FALSE,27
"20","NYJ",3,4,22,0,1,5,30,-7,-10,-1,31,1,29,3,3,22,0,-13,1,0,-1,8,9,-1,"NYJ","PHI",0,0,0,0,0,0,-17,-4,12,-1,40,-9,0,-18,20,3,"NYJ","PHI",-8,1,"False","outdoors","grass",-13,19,0,6,"PHI",0,"2019-10-06",TRUE,-9
"21","WAS",-15,-15,-188,-2,1,-1,-22,20,-22,-4,-14,0,3,-16,-15,-188,-2,-5,-2,1,-5,-20,-15,-5,"WAS","NYG",0,0,0,-1,0,0,5,-4,-10,-4,-38,24,1,-20,-95,-1,"WAS","NYG",-28,9,"False","outdoors","fieldturf ",-10,3,6,2,"NYG",7,"2019-09-29",TRUE,-5
"22","ATL",-3,-7,-67,3,1,-3,-19,1,14,3,-1,0,9,-6,-3,-67,3,-13,-1,-1,4,-7,-11,4,"ATL","HOU",2,0,0,0,0,-1,-102,0,9,-3,3,-4,-1,-47,-39,-2,"ATL","HOU",8,43,"False","retractable roof (closed)","grass",0,0,0,-1,"HOU",3,"2019-10-06",TRUE,-7
"23","MIN",-5,-9,73,2,0,-3,-24,5,47,18,171,-1,67,-11,-5,73,2,3,-1,1,17,6,-11,17,"MIN","NYG",0,0,0,1,1,0,14,-4,-1,0,105,66,4,-45,85,-2,"MIN","NYG",22,-6,"False","outdoors","fieldturf ",-1,-16,2,-4,"MIN",6,"2019-10-06",FALSE,28
"24","ARI",-2,0,12,0,-1,-3,-30,-3,10,15,151,1,37,1,-2,12,0,29,0,1,14,12,-2,14,"ARI","CIN",0,0,0,0,0,0,79,2,8,-3,112,39,-1,102,-86,-1,"ARI","CIN",-1,13,"False","outdoors","grass",4,23,6,2,"CIN",-4,"2019-10-06",FALSE,20
"25","MIA",10,19,37,0,1,0,11,12,51,3,12,1,9,18,10,37,0,5,0,1,2,22,20,2,"MIA","WAS",0,0,0,0,0,0,132,3,-3,6,5,7,0,133,3,-1,"WAS","MIA",-13,6,"False","outdoors","grass",-4,13,-2,9,"WAS",-1,"2019-10-13",FALSE,19
"26","WAS",3,-1,-22,0,-3,3,21,-31,5,3,90,1,79,1,3,-22,0,-47,1,0,3,5,2,3,"WAS","NWE",0,0,0,0,0,0,-79,2,2,0,33,57,2,-55,-54,-1,"NWE","WAS",30,-17,"False","outdoors","grass",-7,24,-3,-12,"NWE",-6,"2019-10-06",TRUE,-5
"27","LAR",-16,-19,-122,-1,-2,-2,-27,-5,3,7,54,0,26,-19,-16,-122,-1,-12,0,1,6,-14,-20,6,"LAR","SEA",0,0,0,0,0,0,-61,-1,-13,-8,60,-6,0,-62,-34,0,"LAR","SEA",-26,-10,"False","outdoors","fieldturf",-17,15,5,8,"SEA",1,"2019-10-03",FALSE,14
"28","BAL",-5,-6,-86,-2,1,1,-3,-26,-42,11,-35,1,-32,-5,-5,-86,-2,-74,-1,4,7,6,-1,7,"BAL","PIT",-1,0,0,0,0,0,-52,-2,-4,-3,-9,-26,-2,-52,-46,-1,"BAL","PIT",-14,-2,"True","outdoors","grass",-13,17,-1,4,"BAL",-3,"2019-10-06",FALSE,18
"29","CIN",6,1,91,2,-1,-7,-69,19,50,4,35,0,10,1,6,91,2,32,-1,0,4,-2,-6,4,"CIN","ARI",0,0,0,0,0,1,-31,-3,8,0,16,19,2,-53,62,0,"ARI","CIN",23,-4,"False","outdoors","grass",0,-4,5,0,"CIN",0,"2019-10-06",FALSE,21
"30","DAL",1,-4,-185,-2,-3,-2,-14,-30,6,13,7,1,-18,-3,1,-185,-2,-67,0,-3,16,7,-9,16,"DAL","NYJ",0,0,0,-1,1,-2,-129,-3,13,0,13,-6,-2,-134,-68,1,"DAL","NYJ",-12,0,"False","outdoors","fieldturf ",-6,-7,7,-4,"DAL",-3,"2019-10-13",FALSE,8
"31","ATL",-2,-10,26,1,-1,0,1,1,42,5,46,-1,-14,-10,-2,26,1,9,0,1,4,-5,-9,4,"ATL","ARI",-2,0,0,0,0,2,-47,-5,-2,-4,-4,50,0,-73,-40,-1,"ATL","ARI",1,-19,"False","retractable roof (closed)","grass",0,0,0,1,"ATL",3,"2019-10-13",FALSE,20
"32","NYG",-6,-7,-21,0,2,-3,-35,29,-30,-4,-12,0,-12,-7,-6,-21,0,11,1,0,-4,-14,-10,-4,"NYG","NWE",0,0,0,0,0,1,-100,5,-3,0,-5,-7,1,-75,-4,0,"NYG","NWE",-14,25,"False","outdoors","grass",-12,-12,3,-11,"NWE",-1,"2019-10-10",TRUE,-3
"33","NYJ",8,6,218,2,-1,-8,-47,76,76,1,-11,0,-19,5,8,218,2,132,-1,1,0,-1,-1,0,"NYJ","DAL",0,0,0,1,0,1,137,3,-8,1,-22,11,0,106,106,-2,"DAL","NYJ",16,-7,"False","outdoors","fieldturf ",-2,-30,-3,7,"DAL",0,"2019-10-13",FALSE,27
"34","WAS",-5,-2,44,2,-1,-6,-44,11,38,13,0,-1,-58,-3,-5,44,2,21,-1,-1,14,5,-9,14,"WAS","MIA",0,0,0,0,1,1,45,-1,1,3,4,-4,-2,38,18,2,"WAS","MIA",-16,9,"False","outdoors","grass",14,0,5,9,"WAS",0,"2019-10-13",FALSE,27
"35","CLE",13,13,129,1,1,-4,-42,-4,-117,6,55,3,19,14,13,129,1,77,-1,3,3,15,12,3,"CLE","SEA",1,0,0,0,1,1,106,1,7,-2,-10,65,0,56,43,2,"SEA","CLE",29,-3,"False","outdoors","grass",-29,2,12,4,"CLE",-2,"2019-10-13",FALSE,24
"36","NYG",7,4,62,0,-2,7,67,-36,43,6,55,1,9,6,7,62,0,11,1,3,3,17,14,3,"NYG","ARI",0,0,0,0,0,-1,-25,-5,1,3,64,-9,1,-17,0,5,"ARI","NYG",13,-14,"False","outdoors","fieldturf ",2,17,-10,13,"NYG",6,"2019-10-20",FALSE,15
"37","TEN",4,-4,116,2,-2,-5,-25,7,145,8,58,1,1,-3,4,116,2,61,0,-1,9,-1,-10,9,"TEN","LAC",0,0,0,1,0,0,-108,-6,-3,-2,7,51,2,-92,89,-1,"LAC","TEN",20,7,"False","outdoors","grass",8,31,-5,-2,"TEN",1,"2019-10-20",FALSE,19
"38","PHI",-10,-15,-115,-1,-1,1,9,-15,-14,6,7,0,-3,-16,-10,-115,-1,-8,2,1,5,-8,-13,5,"PHI","DAL",0,0,0,-1,0,0,-52,-5,-5,1,-3,10,0,-76,-80,0,"PHI","DAL",-10,-1,"False","retractable roof (closed)","fieldturf",0,0,0,0,"DAL",6,"2019-10-20",TRUE,-9
"39","LAR",10,14,213,2,0,-4,-30,44,158,14,-19,0,-16,14,10,213,2,104,-1,0,14,24,10,14,"LAR","ATL",0,0,0,0,0,0,221,3,7,-6,-6,-13,0,222,109,0,"LAR","ATL",17,3,"False","retractable roof (open)","fieldturf",-5,3,-2,0,"LAR",5,"2019-10-20",FALSE,40
"40","TAM",-9,-11,-99,1,-3,-4,-17,9,22,16,64,-2,16,-11,-9,-99,1,-62,0,5,11,1,-10,11,"TAM","TEN",-1,0,0,0,0,0,-138,-1,0,-10,68,-4,0,-118,-78,-3,"TAM","TEN",-14,1,"False","outdoors","grass",-2,-19,-11,0,"TEN",-3,"2019-10-27",FALSE,7
"41","DEN",-1,-2,-39,0,0,-6,-71,-8,-3,7,42,0,12,-3,-1,-39,0,14,-1,1,6,-1,-7,6,"DEN","IND",0,0,0,0,0,0,-147,-2,-6,-1,-15,57,1,-140,7,1,"DEN","IND",-17,9,"False","retractable roof (open)","fieldturf",-3,38,-6,-3,"IND",-8,"2019-10-27",FALSE,22
"42","ATL",17,19,236,0,0,-3,-19,-23,-113,2,31,1,14,16,17,236,0,45,0,-1,3,18,15,3,"ATL","SEA",2,0,0,1,0,1,80,-1,5,-4,-12,43,0,81,191,-2,"SEA","ATL",-10,10,"False","retractable roof (open)","fieldturf",0,0,0,-4,"SEA",-6,"2019-10-27",FALSE,20
"43","MIA",-2,-1,-92,1,1,3,10,-18,-17,-11,-49,-2,-26,-1,-2,-92,1,-45,1,0,-11,-9,2,-11,"MIA","PIT",0,0,0,0,0,0,-36,0,3,4,15,-64,-2,-47,-35,1,"MIA","PIT",-7,-4,"False","outdoors","grass",-6,-4,-5,3,"PIT",2,"2019-10-28",TRUE,-3
"44","CHI",-11,-19,2,-2,1,2,11,7,-11,31,145,1,66,-18,-11,2,-2,36,-1,2,29,14,-15,29,"CHI","LAC",-2,-1,0,0,1,0,-30,-7,-15,-2,102,43,3,-65,-43,-2,"LAC","CHI",-19,-9,"False","outdoors","grass",-2,-25,3,1,"CHI",4,"2019-10-27",FALSE,10
"45","CIN",10,9,53,0,-3,3,14,4,36,2,71,-1,13,6,10,53,0,31,-1,-1,3,14,11,3,"CIN","LAR",0,0,0,1,0,-1,128,2,9,3,72,-1,5,188,-45,-2,"CIN","LAR",-17,7,"False","outdoors","grass",-22,6,3,-8,"LAR",4,"2019-10-27",TRUE,-4
"46","PHI",1,-2,-19,0,-1,0,-4,8,24,13,103,3,76,-1,1,-19,0,-6,-2,1,12,11,-1,12,"PHI","BUF",1,0,0,0,0,0,-202,0,2,-3,67,36,1,-179,40,-1,"PHI","BUF",21,-24,"False","outdoors","astroturf",-18,42,23,2,"BUF",-11,"2019-10-27",FALSE,45
"47","DET",-5,-13,-22,-1,0,2,14,2,18,5,-22,0,0,-14,-5,-22,-1,-3,1,0,5,-6,-11,5,"DET","NYG",0,0,0,0,0,0,4,-3,-5,1,-24,2,1,-9,-44,0,"NYG","DET",-16,1,"False","dome","fieldturf",0,0,0,-4,"DET",6,"2019-10-27",FALSE,17
"48","LVR",-6,-1,-44,0,-1,0,0,-2,-141,-8,-62,0,-22,-1,-6,-44,0,-2,-1,-1,-7,-9,-2,-7,"LVR","HOU",0,0,0,0,-1,-1,-40,-2,-4,1,-14,-48,0,-41,58,2,"LVR","HOU",0,-15,"False","retractable roof (closed)","grass",17,-29,-6,0,"HOU",4,"2019-10-27",FALSE,15
"49","SEA",-6,-21,-59,1,-1,1,11,-25,66,7,45,1,9,-18,-6,-59,1,-85,-1,0,7,-13,-20,7,"SEA","ATL",0,0,0,0,0,1,-257,-11,-10,-6,-27,72,0,-215,7,-1,"SEA","ATL",-3,4,"False","retractable roof (open)","fieldturf",22,-34,-8,-4,"SEA",-1,"2019-10-27",FALSE,21
"50","NYJ",10,-2,132,2,-1,7,38,4,70,-6,-35,0,-6,-2,10,132,2,45,-2,0,-6,-1,5,-6,"NYJ","JAX",2,0,0,0,0,0,-165,-11,-3,-3,-27,-8,-1,-172,82,-1,"NYJ","JAX",-18,29,"False","outdoors","grass",14,-28,0,2,"JAX",-4,"2019-10-27",TRUE,19
"51","WAS",0,1,-19,0,-1,0,-4,-17,-52,7,42,0,0,1,0,-19,0,-20,-1,3,4,8,4,4,"WAS","BUF",0,0,0,0,1,0,5,3,-3,0,21,21,2,6,6,0,"WAS","BUF",0,5,"False","outdoors","astroturf",-30,11,18,6,"BUF",-5,"2019-11-03",TRUE,-5
"52","BUF",-2,-14,-9,-1,0,-2,0,21,29,19,24,2,-9,-11,-2,-9,-1,0,-1,-4,23,3,-20,23,"BUF","WAS",0,0,0,0,0,0,-116,-8,-5,1,22,2,-2,-72,10,0,"WAS","BUF",-22,11,"False","outdoors","astroturf",-12,-31,-5,-9,"BUF",-2,"2019-11-03",FALSE,33
"53","NYJ",6,9,42,-1,-2,-5,-29,-2,12,7,37,0,3,7,6,42,-1,11,0,0,7,11,4,7,"NYJ","MIA",-2,0,0,0,0,0,36,1,-2,-1,42,-5,0,14,17,1,"NYJ","MIA",3,-3,"False","outdoors","grass",13,19,11,4,"NYJ",3,"2019-11-03",FALSE,6
