"","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","is_blownout","score_diff"
"1","GNB",18,30,203,1,0,5,37,47,91,22,47,0,24,27,18,203,1,149,0,1,21,57,36,21,"GNB","CHI",0,0,0,0,0,0,300,5,8,6,27,20,1,253,87,0,"GNB","CHI",10,3,"False","outdoors","grass",65,69,10,-3,"CHI",47,"2019-09-05",FALSE,7,FALSE,7,FALSE,7,FALSE,7,FALSE,7,FALSE,7
"2","CHI",26,45,228,0,1,5,20,27,62,15,46,0,19,44,26,228,0,94,0,2,13,65,52,13,"CHI","GNB",0,0,0,0,0,1,378,8,17,7,33,13,0,366,98,2,"GNB","CHI",10,3,"False","outdoors","grass",65,69,10,-3,"CHI",47,"2019-09-05",FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7,FALSE,-7
"3","LAR",23,39,186,1,1,1,3,24,69,32,166,2,65,38,23,186,1,73,0,1,31,72,41,31,"LAR","CAR",0,0,0,0,0,0,273,8,7,2,40,126,8,273,96,3,"LAR","CAR",30,27,"False","outdoors","grass",87,53,3,-1,"LAR",49,"2019-09-08",FALSE,3,FALSE,3,FALSE,3,FALSE,3,FALSE,3,FALSE,3
"4","CAR",25,38,239,0,1,3,23,17,72,23,127,3,27,37,25,239,0,76,2,1,22,64,42,22,"CAR","LAR",0,0,0,0,1,0,238,9,9,6,59,68,4,238,114,1,"LAR","CAR",30,27,"False","outdoors","grass",87,53,3,-1,"LAR",49,"2019-09-08",FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3,FALSE,-3
"5","TEN",14,24,248,3,0,4,32,75,133,28,123,1,46,24,14,248,3,161,0,2,26,56,30,26,"TEN","CLE",0,0,0,0,0,1,145,6,13,3,64,59,2,144,173,2,"TEN","CLE",43,13,"False","outdoors","grass",71,55,10,-5,"CLE",44,"2019-09-08",FALSE,30,FALSE,30,FALSE,30,FALSE,30,FALSE,30,FALSE,30
"6","CLE",25,38,285,1,3,5,41,35,64,20,102,1,42,38,25,285,1,154,0,0,20,63,43,20,"CLE","TEN",0,0,0,0,0,0,337,5,9,4,48,54,1,336,100,4,"TEN","CLE",43,13,"False","outdoors","grass",71,55,10,-5,"CLE",44,"2019-09-08",TRUE,-30,TRUE,-30,TRUE,-30,TRUE,-30,TRUE,-30,TRUE,-30
"7","DET",27,45,385,3,0,3,24,47,110,32,116,0,40,41,27,385,3,156,1,2,30,80,50,30,"DET","ARI",0,0,0,1,0,2,518,10,18,3,40,76,1,473,157,1,"DET","ARI",27,27,"True","retractable roof (closed)","grass",72,45,0,-2,"DET",45,"2019-09-08",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"8","ARI",29,54,308,2,1,5,33,45,75,23,112,0,44,52,29,308,2,136,0,0,23,82,59,23,"ARI","DET",2,0,0,1,0,1,567,11,5,7,58,54,2,540,64,1,"DET","ARI",27,27,"True","retractable roof (closed)","grass",72,45,0,-2,"DET",45,"2019-09-08",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"9","NYG",33,48,323,1,0,1,4,49,177,17,151,1,87,44,33,323,1,123,2,2,15,66,51,15,"NYG","DAL",0,0,0,1,1,1,314,10,11,4,105,46,4,272,161,0,"NYG","DAL",17,35,"False","retractable roof (closed)","fieldturf",72,45,0,-7,"DAL",44,"2019-09-08",TRUE,-18,TRUE,-18,TRUE,-18,TRUE,-18,TRUE,-18,TRUE,-18
"10","DAL",25,32,405,4,0,0,0,62,158,30,89,1,24,32,25,405,4,184,0,0,30,62,32,30,"DAL","NYG",0,0,0,1,0,2,301,2,13,1,34,55,2,300,173,3,"NYG","DAL",17,35,"False","retractable roof (closed)","fieldturf",72,45,0,-7,"DAL",44,"2019-09-08",FALSE,18,FALSE,18,FALSE,18,FALSE,18,FALSE,18,FALSE,18
